style,year,week_in_year,rating
oversized blazer,4,29,1.0
oversized blazer,4,42,1.0
oversized blazer,4,43,1.0
oversized blazer,4,8,2.0
oversized blazer,4,40,2.0
oversized blazer,4,49,2.0
oversized blazer,4,5,1.0
oversized blazer,4,15,2.0
oversized blazer,5,19,2.0
oversized blazer,5,44,3.0
oversized blazer,5,48,2.0
oversized blazer,5,46,2.0
oversized blazer,5,9,2.0
oversized blazer,5,2,3.0
oversized blazer,5,21,3.0
oversized blazer,5,52,2.0
oversized blazer,5,22,1.0
oversized blazer,5,19,3.0
oversized blazer,5,17,2.0
oversized blazer,5,32,2.0
oversized blazer,5,47,2.0
oversized blazer,5,45,2.0
oversized blazer,5,1,2.0
oversized blazer,5,18,3.0
oversized blazer,5,2,3.0
oversized blazer,5,16,2.0
oversized blazer,5,6,3.0
oversized blazer,5,6,2.0
oversized blazer,5,37,2.0
oversized blazer,5,13,3.0
oversized blazer,5,14,3.0
oversized blazer,5,32,3.0
oversized blazer,5,21,2.0
oversized blazer,5,10,2.0
oversized blazer,5,7,4.0
oversized blazer,5,3,2.0
oversized blazer,5,51,3.0
oversized blazer,5,24,2.0
oversized blazer,5,24,3.0
oversized blazer,5,25,2.0
oversized blazer,5,39,2.0
oversized blazer,5,51,2.0
oversized blazer,5,11,3.0
oversized blazer,5,1,3.0
oversized blazer,5,26,2.0
oversized blazer,5,38,1.0
oversized blazer,5,20,2.0
oversized blazer,5,12,3.0
wide-leg jeans,0,4,4.0
wide-leg jeans,0,21,3.0
wide-leg jeans,0,13,4.0
wide-leg jeans,0,46,3.0
wide-leg jeans,0,25,3.0
wide-leg jeans,0,15,3.0
wide-leg jeans,0,27,4.0
wide-leg jeans,0,15,4.0
wide-leg jeans,0,43,4.0
wide-leg jeans,0,2,4.0
wide-leg jeans,0,34,3.0
wide-leg jeans,0,2,3.0
wide-leg jeans,0,21,3.0
wide-leg jeans,0,27,3.0
wide-leg jeans,0,6,4.0
wide-leg jeans,0,43,3.0
wide-leg jeans,0,23,4.0
wide-leg jeans,0,42,4.0
wide-leg jeans,0,14,3.0
wide-leg jeans,0,25,4.0
wide-leg jeans,0,7,3.0
wide-leg jeans,0,36,4.0
wide-leg jeans,0,8,3.0
wide-leg jeans,0,30,4.0
wide-leg jeans,0,36,4.0
wide-leg jeans,0,21,3.0
wide-leg jeans,0,44,4.0
wide-leg jeans,0,52,3.0
wide-leg jeans,0,41,4.0
wide-leg jeans,0,8,4.0
wide-leg jeans,0,7,3.0
wide-leg jeans,0,12,4.0
wide-leg jeans,0,18,4.0
wide-leg jeans,0,37,4.0
wide-leg jeans,0,49,4.0
wide-leg jeans,0,34,4.0
wide-leg jeans,0,52,3.0
wide-leg jeans,0,42,4.0
wide-leg jeans,0,22,3.0
wide-leg jeans,0,2,2.0
wide-leg jeans,1,30,4.0
wide-leg jeans,1,36,3.0
wide-leg jeans,1,8,4.0
wide-leg jeans,1,27,3.0
wide-leg jeans,1,39,3.0
wide-leg jeans,1,8,4.0
wide-leg jeans,1,3,3.0
wide-leg jeans,1,45,3.0
wide-leg jeans,1,16,3.0
wide-leg jeans,1,12,3.0
wide-leg jeans,1,14,2.0
wide-leg jeans,1,49,4.0
wide-leg jeans,1,35,3.0
wide-leg jeans,1,49,4.0
wide-leg jeans,1,43,3.0
wide-leg jeans,1,47,3.0
wide-leg jeans,1,5,4.0
wide-leg jeans,1,6,3.0
wide-leg jeans,1,48,3.0
wide-leg jeans,1,40,3.0
wide-leg jeans,1,42,4.0
wide-leg jeans,1,29,2.0
wide-leg jeans,1,14,4.0
wide-leg jeans,1,23,3.0
wide-leg jeans,1,51,3.0
wide-leg jeans,1,45,3.0
wide-leg jeans,1,18,3.0
wide-leg jeans,1,28,3.0
wide-leg jeans,1,35,2.0
wide-leg jeans,1,28,3.0
wide-leg jeans,1,19,2.0
wide-leg jeans,1,31,3.0
wide-leg jeans,1,32,3.0
wide-leg jeans,1,22,3.0
wide-leg jeans,1,5,3.0
wide-leg jeans,1,37,3.0
wide-leg jeans,1,46,3.0
wide-leg jeans,1,8,3.0
wide-leg jeans,1,35,4.0
wide-leg jeans,1,20,3.0
wide-leg jeans,2,2,3.0
wide-leg jeans,2,37,3.0
wide-leg jeans,2,33,4.0
wide-leg jeans,2,8,3.0
wide-leg jeans,2,35,4.0
wide-leg jeans,2,29,5.0
wide-leg jeans,2,23,4.0
wide-leg jeans,2,16,4.0
wide-leg jeans,2,34,3.0
wide-leg jeans,2,17,4.0
wide-leg jeans,2,5,3.0
wide-leg jeans,2,44,4.0
wide-leg jeans,2,4,4.0
wide-leg jeans,2,48,4.0
wide-leg jeans,2,13,4.0
wide-leg jeans,2,40,4.0
wide-leg jeans,2,34,4.0
wide-leg jeans,2,4,3.0
wide-leg jeans,2,20,4.0
wide-leg jeans,2,34,4.0
wide-leg jeans,2,45,4.0
wide-leg jeans,2,10,3.0
wide-leg jeans,2,49,4.0
wide-leg jeans,2,18,3.0
wide-leg jeans,2,41,4.0
wide-leg jeans,2,6,3.0
wide-leg jeans,2,20,3.0
wide-leg jeans,2,46,4.0
wide-leg jeans,2,28,3.0
wide-leg jeans,2,42,4.0
wide-leg jeans,2,2,4.0
wide-leg jeans,2,6,3.0
wide-leg jeans,2,6,3.0
wide-leg jeans,2,40,5.0
wide-leg jeans,2,46,3.0
wide-leg jeans,2,35,3.0
wide-leg jeans,2,13,4.0
wide-leg jeans,2,22,4.0
wide-leg jeans,2,11,5.0
wide-leg jeans,2,43,3.0
wide-leg jeans,3,42,3.0
wide-leg jeans,3,16,3.0
wide-leg jeans,3,2,3.0
wide-leg jeans,3,17,3.0
wide-leg jeans,3,2,3.0
wide-leg jeans,3,25,3.0
wide-leg jeans,3,19,4.0
wide-leg jeans,3,50,3.0
wide-leg jeans,3,39,4.0
wide-leg jeans,3,46,2.0
wide-leg jeans,3,52,3.0
wide-leg jeans,3,44,2.0
wide-leg jeans,3,52,3.0
wide-leg jeans,3,3,2.0
wide-leg jeans,3,43,2.0
wide-leg jeans,3,10,3.0
wide-leg jeans,3,31,2.0
wide-leg jeans,3,33,4.0
wide-leg jeans,3,47,4.0
wide-leg jeans,3,15,3.0
wide-leg jeans,3,27,3.0
wide-leg jeans,3,41,3.0
wide-leg jeans,3,37,3.0
wide-leg jeans,3,18,3.0
wide-leg jeans,3,16,3.0
wide-leg jeans,3,24,2.0
wide-leg jeans,3,35,3.0
wide-leg jeans,3,14,4.0
wide-leg jeans,3,20,3.0
wide-leg jeans,3,20,3.0
wide-leg jeans,3,18,3.0
wide-leg jeans,3,14,4.0
wide-leg jeans,3,46,3.0
wide-leg jeans,3,21,3.0
wide-leg jeans,3,22,2.0
wide-leg jeans,3,14,4.0
wide-leg jeans,3,50,3.0
wide-leg jeans,3,46,3.0
wide-leg jeans,3,8,2.0
wide-leg jeans,3,47,3.0
wide-leg jeans,4,5,5.0
wide-leg jeans,4,39,5.0
wide-leg jeans,4,45,5.0
wide-leg jeans,4,49,5.0
wide-leg jeans,4,22,5.0
wide-leg jeans,4,46,5.0
wide-leg jeans,4,46,5.0
wide-leg jeans,4,49,5.0
wide-leg jeans,4,49,5.0
wide-leg jeans,4,27,5.0
wide-leg jeans,4,30,5.0
wide-leg jeans,4,30,5.0
wide-leg jeans,4,20,5.0
wide-leg jeans,4,51,5.0
wide-leg jeans,4,3,5.0
wide-leg jeans,4,16,5.0
wide-leg jeans,4,52,5.0
wide-leg jeans,4,2,5.0
wide-leg jeans,4,10,5.0
wide-leg jeans,4,39,5.0
wide-leg jeans,4,16,4.0
wide-leg jeans,4,11,5.0
wide-leg jeans,4,35,5.0
wide-leg jeans,4,18,5.0
wide-leg jeans,4,9,4.0
wide-leg jeans,4,30,5.0
wide-leg jeans,4,48,5.0
wide-leg jeans,4,50,5.0
wide-leg jeans,4,37,5.0
wide-leg jeans,4,10,5.0
wide-leg jeans,4,29,5.0
wide-leg jeans,4,24,5.0
wide-leg jeans,4,17,5.0
wide-leg jeans,4,3,5.0
wide-leg jeans,4,19,5.0
wide-leg jeans,4,8,5.0
wide-leg jeans,4,2,4.0
wide-leg jeans,4,51,5.0
wide-leg jeans,4,52,5.0
wide-leg jeans,4,8,4.0
wide-leg jeans,5,13,5.0
wide-leg jeans,5,31,5.0
wide-leg jeans,5,3,5.0
wide-leg jeans,5,21,5.0
wide-leg jeans,5,32,5.0
wide-leg jeans,5,37,5.0
wide-leg jeans,5,31,5.0
wide-leg jeans,5,8,5.0
wide-leg jeans,5,49,4.0
wide-leg jeans,5,42,5.0
wide-leg jeans,5,9,5.0
wide-leg jeans,5,13,5.0
wide-leg jeans,5,48,4.0
wide-leg jeans,5,7,5.0
wide-leg jeans,5,43,5.0
wide-leg jeans,5,48,5.0
wide-leg jeans,5,31,5.0
wide-leg jeans,5,51,5.0
wide-leg jeans,5,7,5.0
wide-leg jeans,5,32,5.0
wide-leg jeans,5,11,5.0
wide-leg jeans,5,32,5.0
wide-leg jeans,5,45,4.0
wide-leg jeans,5,2,5.0
wide-leg jeans,5,43,5.0
wide-leg jeans,5,29,4.0
wide-leg jeans,5,25,5.0
wide-leg jeans,5,3,5.0
wide-leg jeans,5,18,4.0
wide-leg jeans,5,41,5.0
wide-leg jeans,5,6,4.0
wide-leg jeans,5,2,4.0
wide-leg jeans,5,5,5.0
wide-leg jeans,5,25,5.0
wide-leg jeans,5,33,5.0
wide-leg jeans,5,4,5.0
wide-leg jeans,5,40,5.0
wide-leg jeans,5,40,5.0
wide-leg jeans,5,7,5.0
wide-leg jeans,5,46,5.0
cargo pants,0,17,2.0
cargo pants,0,27,3.0
cargo pants,0,17,4.0
cargo pants,0,2,4.0
cargo pants,0,35,4.0
cargo pants,0,19,4.0
cargo pants,0,35,3.0
cargo pants,0,3,3.0
cargo pants,0,34,3.0
cargo pants,0,37,4.0
cargo pants,0,46,3.0
cargo pants,0,47,3.0
cargo pants,0,8,4.0
cargo pants,0,15,4.0
cargo pants,0,47,3.0
cargo pants,0,32,4.0
cargo pants,0,5,3.0
cargo pants,0,20,4.0
cargo pants,0,37,4.0
cargo pants,0,22,3.0
cargo pants,0,43,3.0
cargo pants,0,22,3.0
cargo pants,0,37,3.0
cargo pants,0,40,3.0
cargo pants,0,18,4.0
cargo pants,0,12,3.0
cargo pants,0,16,3.0
cargo pants,0,21,4.0
cargo pants,0,52,3.0
cargo pants,0,38,4.0
cargo pants,0,45,3.0
cargo pants,0,5,4.0
cargo pants,0,51,3.0
cargo pants,0,7,4.0
cargo pants,0,6,4.0
cargo pants,0,26,2.0
cargo pants,0,26,3.0
cargo pants,0,5,3.0
cargo pants,0,39,4.0
cargo pants,0,28,4.0
cargo pants,1,2,5.0
cargo pants,1,35,4.0
cargo pants,1,10,5.0
cargo pants,1,21,5.0
cargo pants,1,9,5.0
cargo pants,1,42,5.0
cargo pants,1,15,5.0
cargo pants,1,15,5.0
cargo pants,1,9,4.0
cargo pants,1,25,5.0
cargo pants,1,11,5.0
cargo pants,1,34,5.0
cargo pants,1,24,5.0
cargo pants,1,30,5.0
cargo pants,1,51,4.0
cargo pants,1,36,5.0
cargo pants,1,29,5.0
cargo pants,1,44,5.0
cargo pants,1,5,4.0
cargo pants,1,15,4.0
cargo pants,1,51,4.0
cargo pants,1,14,5.0
cargo pants,1,17,4.0
cargo pants,1,8,4.0
cargo pants,1,9,5.0
cargo pants,1,6,5.0
cargo pants,1,46,5.0
cargo pants,1,32,5.0
cargo pants,1,51,3.0
cargo pants,1,21,4.0
cargo pants,1,48,5.0
cargo pants,1,24,4.0
cargo pants,1,12,4.0
cargo pants,1,40,5.0
cargo pants,1,29,4.0
cargo pants,1,50,5.0
cargo pants,1,25,4.0
cargo pants,1,7,5.0
cargo pants,1,5,4.0
cargo pants,1,7,5.0
cargo pants,2,3,4.0
cargo pants,2,52,4.0
cargo pants,2,28,4.0
cargo pants,2,36,5.0
cargo pants,2,21,5.0
cargo pants,2,7,4.0
cargo pants,2,11,4.0
cargo pants,2,34,4.0
cargo pants,2,40,5.0
cargo pants,2,44,4.0
cargo pants,2,27,4.0
cargo pants,2,44,4.0
cargo pants,2,24,4.0
cargo pants,2,10,4.0
cargo pants,2,27,4.0
cargo pants,2,46,5.0
cargo pants,2,17,4.0
cargo pants,2,3,4.0
cargo pants,2,40,5.0
cargo pants,2,52,5.0
cargo pants,2,51,4.0
cargo pants,2,50,5.0
cargo pants,2,2,3.0
cargo pants,2,8,4.0
cargo pants,2,41,5.0
cargo pants,2,51,4.0
cargo pants,2,20,4.0
cargo pants,2,14,4.0
cargo pants,2,28,4.0
cargo pants,2,50,4.0
cargo pants,2,48,5.0
cargo pants,2,30,5.0
cargo pants,2,20,4.0
cargo pants,2,34,4.0
cargo pants,2,30,3.0
cargo pants,2,42,5.0
cargo pants,2,26,4.0
cargo pants,2,40,5.0
cargo pants,2,5,4.0
cargo pants,2,5,4.0
cargo pants,3,37,2.0
cargo pants,3,15,3.0
cargo pants,3,33,2.0
cargo pants,3,49,3.0
cargo pants,3,23,2.0
cargo pants,3,48,2.0
cargo pants,3,38,2.0
cargo pants,3,37,1.0
cargo pants,3,33,3.0
cargo pants,3,49,2.0
cargo pants,3,1,3.0
cargo pants,3,20,3.0
cargo pants,3,35,3.0
cargo pants,3,7,3.0
cargo pants,3,3,3.0
cargo pants,3,43,3.0
cargo pants,3,48,2.0
cargo pants,3,8,2.0
cargo pants,3,43,3.0
cargo pants,3,45,2.0
cargo pants,3,20,3.0
cargo pants,3,26,3.0
cargo pants,3,3,4.0
cargo pants,3,10,3.0
cargo pants,3,52,2.0
cargo pants,3,12,3.0
cargo pants,3,6,3.0
cargo pants,3,7,3.0
cargo pants,3,3,3.0
cargo pants,3,37,2.0
cargo pants,3,2,3.0
cargo pants,3,24,3.0
cargo pants,3,27,2.0
cargo pants,3,32,3.0
cargo pants,3,41,3.0
cargo pants,3,8,3.0
cargo pants,3,13,3.0
cargo pants,3,35,2.0
cargo pants,3,29,3.0
cargo pants,3,12,4.0
cargo pants,4,7,4.0
cargo pants,4,50,4.0
cargo pants,4,21,4.0
cargo pants,4,52,3.0
cargo pants,4,22,3.0
cargo pants,4,12,4.0
cargo pants,4,1,4.0
cargo pants,4,52,4.0
cargo pants,4,16,5.0
cargo pants,4,52,4.0
cargo pants,4,2,4.0
cargo pants,4,17,4.0
cargo pants,4,36,4.0
cargo pants,4,29,4.0
cargo pants,4,8,4.0
cargo pants,4,23,4.0
cargo pants,4,20,3.0
cargo pants,4,2,4.0
cargo pants,4,27,3.0
cargo pants,4,2,4.0
cargo pants,4,6,4.0
cargo pants,4,20,4.0
cargo pants,4,12,4.0
cargo pants,4,44,4.0
cargo pants,4,13,4.0
cargo pants,4,52,5.0
cargo pants,4,46,5.0
cargo pants,4,19,4.0
cargo pants,4,52,4.0
cargo pants,4,37,4.0
cargo pants,4,1,4.0
cargo pants,4,44,4.0
cargo pants,4,44,4.0
cargo pants,4,47,5.0
cargo pants,4,50,4.0
cargo pants,4,13,3.0
cargo pants,4,9,5.0
cargo pants,4,17,4.0
cargo pants,4,27,4.0
cargo pants,4,46,4.0
cargo pants,5,12,3.0
cargo pants,5,51,3.0
cargo pants,5,43,2.0
cargo pants,5,5,2.0
cargo pants,5,49,2.0
cargo pants,5,9,3.0
cargo pants,5,33,2.0
cargo pants,5,36,2.0
cargo pants,5,16,2.0
cargo pants,5,5,2.0
cargo pants,5,21,2.0
cargo pants,5,6,3.0
cargo pants,5,4,2.0
cargo pants,5,9,3.0
cargo pants,5,7,2.0
cargo pants,5,10,1.0
cargo pants,5,45,2.0
cargo pants,5,8,3.0
cargo pants,5,11,4.0
cargo pants,5,52,3.0
cargo pants,5,46,2.0
cargo pants,5,9,3.0
cargo pants,5,16,2.0
cargo pants,5,23,2.0
cargo pants,5,30,2.0
cargo pants,5,44,2.0
cargo pants,5,16,2.0
cargo pants,5,33,2.0
cargo pants,5,46,3.0
cargo pants,5,17,3.0
cargo pants,5,22,2.0
cargo pants,5,9,2.0
cargo pants,5,6,2.0
cargo pants,5,11,3.0
cargo pants,5,36,3.0
cargo pants,5,11,2.0
cargo pants,5,37,2.0
cargo pants,5,10,2.0
cargo pants,5,43,2.0
cargo pants,5,37,2.0
ballet flats,0,19,5.0
ballet flats,0,25,5.0
ballet flats,0,3,5.0
ballet flats,0,33,5.0
ballet flats,0,31,4.0
ballet flats,0,9,5.0
ballet flats,0,17,5.0
ballet flats,0,38,5.0
ballet flats,0,28,5.0
ballet flats,0,51,5.0
ballet flats,0,18,5.0
ballet flats,0,17,5.0
ballet flats,0,30,4.0
ballet flats,0,43,4.0
ballet flats,0,21,5.0
ballet flats,0,19,5.0
ballet flats,0,25,4.0
ballet flats,0,48,5.0
ballet flats,0,3,5.0
ballet flats,0,38,4.0
ballet flats,0,18,5.0
ballet flats,0,4,5.0
ballet flats,0,5,5.0
ballet flats,0,14,5.0
ballet flats,0,50,5.0
ballet flats,0,46,4.0
ballet flats,0,23,5.0
ballet flats,0,3,5.0
ballet flats,0,36,5.0
ballet flats,0,21,5.0
ballet flats,0,29,5.0
ballet flats,0,41,4.0
ballet flats,0,5,5.0
ballet flats,0,5,5.0
ballet flats,0,17,5.0
ballet flats,0,42,4.0
ballet flats,0,41,4.0
ballet flats,0,50,5.0
ballet flats,0,12,5.0
ballet flats,0,48,4.0
ballet flats,1,41,4.0
ballet flats,1,50,4.0
ballet flats,1,39,3.0
ballet flats,1,22,3.0
ballet flats,1,8,4.0
ballet flats,1,41,4.0
ballet flats,1,2,3.0
ballet flats,1,2,4.0
ballet flats,1,17,4.0
ballet flats,1,32,3.0
ballet flats,1,31,3.0
ballet flats,1,29,4.0
ballet flats,1,12,4.0
ballet flats,1,37,3.0
ballet flats,1,10,3.0
ballet flats,1,26,4.0
ballet flats,1,44,3.0
ballet flats,1,16,4.0
ballet flats,1,20,4.0
ballet flats,1,21,3.0
ballet flats,1,45,4.0
ballet flats,1,8,4.0
ballet flats,1,6,3.0
ballet flats,1,16,4.0
ballet flats,1,31,3.0
ballet flats,1,49,3.0
ballet flats,1,16,4.0
ballet flats,1,23,3.0
ballet flats,1,22,3.0
ballet flats,1,25,5.0
ballet flats,1,11,4.0
ballet flats,1,7,4.0
ballet flats,1,17,4.0
ballet flats,1,8,4.0
ballet flats,1,18,3.0
ballet flats,1,23,3.0
ballet flats,1,15,5.0
ballet flats,1,2,4.0
ballet flats,1,9,4.0
ballet flats,1,20,4.0
ballet flats,2,8,5.0
ballet flats,2,13,3.0
ballet flats,2,49,2.0
ballet flats,2,46,3.0
ballet flats,2,46,3.0
ballet flats,2,41,3.0
ballet flats,2,23,4.0
ballet flats,2,44,4.0
ballet flats,2,21,4.0
ballet flats,2,37,3.0
ballet flats,2,50,3.0
ballet flats,2,20,3.0
ballet flats,2,34,4.0
ballet flats,2,42,3.0
ballet flats,2,16,4.0
ballet flats,2,41,3.0
ballet flats,2,40,4.0
ballet flats,2,39,3.0
ballet flats,2,16,4.0
ballet flats,2,17,4.0
ballet flats,2,38,3.0
ballet flats,2,38,3.0
ballet flats,2,13,3.0
ballet flats,2,28,3.0
ballet flats,2,16,5.0
ballet flats,2,29,3.0
ballet flats,2,34,2.0
ballet flats,2,28,4.0
ballet flats,2,12,3.0
ballet flats,2,11,4.0
ballet flats,2,16,4.0
ballet flats,2,14,3.0
ballet flats,2,20,2.0
ballet flats,2,30,3.0
ballet flats,2,45,4.0
ballet flats,2,28,3.0
ballet flats,2,4,4.0
ballet flats,2,45,4.0
ballet flats,2,17,3.0
ballet flats,2,50,3.0
ballet flats,3,15,2.0
ballet flats,3,8,3.0
ballet flats,3,41,3.0
ballet flats,3,48,3.0
ballet flats,3,44,3.0
ballet flats,3,51,3.0
ballet flats,3,31,3.0
ballet flats,3,33,2.0
ballet flats,3,42,2.0
ballet flats,3,26,3.0
ballet flats,3,1,3.0
ballet flats,3,48,2.0
ballet flats,3,31,3.0
ballet flats,3,26,3.0
ballet flats,3,33,3.0
ballet flats,3,5,3.0
ballet flats,3,15,3.0
ballet flats,3,9,4.0
ballet flats,3,22,3.0
ballet flats,3,38,3.0
ballet flats,3,2,2.0
ballet flats,3,32,3.0
ballet flats,3,5,3.0
ballet flats,3,50,3.0
ballet flats,3,15,4.0
ballet flats,3,28,4.0
ballet flats,3,9,4.0
ballet flats,3,12,3.0
ballet flats,3,25,2.0
ballet flats,3,35,3.0
ballet flats,3,3,3.0
ballet flats,3,33,3.0
ballet flats,3,3,3.0
ballet flats,3,50,4.0
ballet flats,3,19,3.0
ballet flats,3,6,3.0
ballet flats,3,18,4.0
ballet flats,3,51,3.0
ballet flats,3,29,3.0
ballet flats,3,32,2.0
ballet flats,4,1,5.0
ballet flats,4,32,5.0
ballet flats,4,36,5.0
ballet flats,4,7,5.0
ballet flats,4,23,5.0
ballet flats,4,24,5.0
ballet flats,4,10,5.0
ballet flats,4,34,5.0
ballet flats,4,34,5.0
ballet flats,4,40,5.0
ballet flats,4,12,5.0
ballet flats,4,48,5.0
ballet flats,4,31,5.0
ballet flats,4,46,5.0
ballet flats,4,7,5.0
ballet flats,4,10,5.0
ballet flats,4,28,5.0
ballet flats,4,2,5.0
ballet flats,4,39,5.0
ballet flats,4,11,5.0
ballet flats,4,44,5.0
ballet flats,4,18,5.0
ballet flats,4,41,5.0
ballet flats,4,12,5.0
ballet flats,4,35,5.0
ballet flats,4,3,5.0
ballet flats,4,17,5.0
ballet flats,4,20,5.0
ballet flats,4,44,5.0
ballet flats,4,31,5.0
ballet flats,4,3,5.0
ballet flats,4,26,5.0
ballet flats,4,22,5.0
ballet flats,4,7,5.0
ballet flats,4,15,5.0
ballet flats,4,18,5.0
ballet flats,4,19,5.0
ballet flats,4,11,5.0
ballet flats,4,34,5.0
ballet flats,4,4,5.0
ballet flats,5,49,3.0
ballet flats,5,32,2.0
ballet flats,5,46,3.0
ballet flats,5,28,5.0
ballet flats,5,39,3.0
ballet flats,5,6,4.0
ballet flats,5,52,4.0
ballet flats,5,13,4.0
ballet flats,5,44,4.0
